1,"[[156049, 164867, 17.279498240432385, array([-2.26276120e-05,  6.67947731e+01]), [[156049, 157086, 157331, 164637, 164865], 2551.0, 8816.000002268604, array([2.51043846e-06])], [[(155012, 63.185), (156674, 63.185), (157228, 63.2), (162962, 62.935), (164770, 63.04125), (165093, 63.04125)], [0.06461462081585267, 0.06461462081585267, 0.03707892376440469, 0.1723321965207063, 0.025171474013454542, 0.025171474013454542], [1037, 1037, 245, 7306, 228, 228], [6.230918111461203e-05, 6.230918111461203e-05, 0.000151342545977162, 2.3587763005845375e-05, 0.00011040120181339712, 0.00011040120181339712]], 6, [[(156049, 63.26375), (157086, 63.24125), (157331, 63.23375), (164637, 63.07), (164865, 63.06375)], [0.07874999999999943, 0.04509476534295942, 0.03851020230204938, 0.036565956858410686, 0.022500000000000853], [1662, 554, 5734, 1808, 323], [4.7382671480144065e-05, 8.139849339884372e-05, 6.716114806775267e-06, 2.022453366062538e-05, 6.965944272446084e-05]], 5]]","[3, 2, 63041, 63180, 63041, 63180, 62935, 63180]"
2,"[[175005, 184926, 25.315626489229555, array([5.84937292e-06, 6.20411937e+01]), [[175005, 176768, 184629, 184706, 184741, 184924], 2350.88, 9919.000000166663, array([8.05426697e-07])], [[(173242, 63.165), (175776, 63.165), (182451, 63.255), (184661, 63.135), (184729, 63.13125), (184815, 63.15875), (185107, 63.15875)], [0.09562696696405482, 0.09562696696405482, 0.14658240271702283, 0.013655288561814416, 0.009507531203198027, 0.03650448513199933, 0.03650448513199933], [1763, 1763, 7861, 77, 35, 183, 183], [5.424104762566921e-05, 5.424104762566921e-05, 1.864678828609882e-05, 0.00017734140989369372, 0.00027164374866280077, 0.00019947806083059743, 0.00019947806083059743]], 7, [[(175005, 63.065), (176768, 63.075), (184629, 63.12125), (184706, 63.12125), (184741, 63.1225), (184924, 63.1225)], [0.10000000000000142, 0.10337528089887371, 0.015487556561076588, 0.011268382352938033, 0.012587209302324709, 0.03624999999999545], [2534, 6675, 2210, 68, 86, 292], [3.946329913180798e-05, 1.548693346799606e-05, 7.007944145283524e-06, 0.0001657115051902652, 0.0001463628988642408, 0.00012414383561642277]], 6]]","[3, 3, 63159, 62970, 63159, 62970, 63255, 62970]"
1,"[[184229, 189013, 23.58949057754647, array([-3.40925557e-05,  6.94602827e+01]), [[184229, 184815, 188037, 188282, 189010], 1013.375, 4781.000002804231, array([1.00547498e-06])], [[(183643, 63.12125), (184629, 63.12125), (186865, 62.97), (188086, 63.00625), (188884, 62.96625), (189738, 62.96625)], [0.044558243070433434, 0.044558243070433434, 0.11957728853469973, 0.04170027803016296, 0.05449441858493742, 0.05449441858493742], [586, 586, 3222, 245, 728, 728], [7.603795745807753e-05, 7.603795745807753e-05, 3.7112752493699486e-05, 0.00017020521644964473, 7.485497058370524e-05, 7.485497058370524e-05]], 6, [[(184229, 63.18), (184815, 63.15875), (188037, 63.05), (188282, 63.04125), (189010, 63.01625)], [0.058749999999996305, 0.050081618962423136, 0.04520475020474635, 0.04482456140350166, 0.04999999999999716], [986, 2236, 1221, 798, 854], [5.958417849898205e-05, 2.239786178999246e-05, 3.70227274404147e-05, 5.6171129578322886e-05, 5.854800936767817e-05]], 5]]","[4, 3, 62966, 63120, 62966, 63120, 62966, 63120]"
1,"[[202796, 205102, 31.395030163719422, array([-3.16307227e-05,  6.92798947e+01]), [[202796, 203439, 203547, 203579, 204947, 205087], 437.84, 2291.0000011471516, array([1.45451124e-06])], [[(202153, 62.8125), (203189, 62.8125), (203484, 62.83375), (203557, 62.8275), (204768, 62.7525), (204984, 62.7825), (205227, 62.7825)], [0.040379751582626966, 0.040379751582626966, 0.009798688381216891, 0.013739645622898422, 0.050434840413039694, 0.013602604306242938, 0.013602604306242938], [643, 643, 108, 32, 1368, 140, 140], [6.279899157484753e-05, 6.279899157484753e-05, 9.072859612237862e-05, 0.0004293639257155757, 3.686757340134481e-05, 9.71614593303067e-05, 9.71614593303067e-05]], 7, [[(202796, 62.865), (203439, 62.845), (203547, 62.8425), (203579, 62.84), (204947, 62.7975), (205087, 62.7925)], [0.05250000000000199, 0.014491525423729001, 0.014143835616437173, 0.01386251032205621, 0.020138888888894257, 0.00999999999999801], [1036, 295, 73, 1211, 216, 243], [5.06756756756776e-05, 4.912381499569153e-05, 0.00019375117282790648, 1.1447159638361858e-05, 9.323559670784378e-05, 4.115226337447741e-05]], 6]]","[2, 2]"
1,"[[202796, 205344, 41.68901015180105, array([-3.02679520e-05,  6.90031062e+01]), [[202796, 203439, 203547, 205036, 205119, 205251, 205343], 427.6666666666667, 2547.0000011790835, array([1.72961092e-06])], [[(202153, 62.8125), (203189, 62.8125), (203484, 62.83375), (204768, 62.7525), (205112, 62.78625), (205202, 62.775), (205288, 62.77), (205435, 62.77)], [0.04049133576674535, 0.04049133576674535, 0.010312289914125472, 0.05269823949119967, 0.008536063988479725, 0.017061948304629482, 0.019458904428951485, 0.019458904428951485], [643, 643, 108, 1489, 83, 132, 92, 92], [6.297252840862418e-05, 6.297252840862418e-05, 9.548416587153215e-05, 3.539169878522476e-05, 0.00010284414443951476, 0.00012925718412598093, 0.00021150983074947266, 0.00021150983074947266]], 8, [[(202796, 62.865), (203439, 62.845), (203547, 62.8425), (205036, 62.79625), (205119, 62.795), (205251, 62.79125), (205343, 62.7875)], [0.05250000000000199, 0.014491525423729001, 0.012736565420567558, 0.01745639534883736, 0.009624999999999773, 0.019098837209298836, 0.017499999999998295], [1036, 295, 1284, 344, 90, 86, 147], [5.06756756756776e-05, 4.912381499569153e-05, 9.919443473962273e-06, 5.0745335316387676e-05, 0.00010694444444444191, 0.0002220795024337074, 0.00011904761904760745]], 7]]","[4, 3, 62769, 62819, 62769, 62819, 62755, 62819]"
1,"[[202382, 206242, 16.63182847321328, array([-2.75958854e-05,  6.84963841e+01]), [[202382, 202439, 205724, 206081, 206241], 1160.125, 3859.0000014973116, array([2.50500995e-06])], [[(202325, 62.885), (202415, 62.885), (204768, 62.7525), (205833, 62.79), (206161, 62.79), (206401, 62.79)], [0.025562959029805654, 0.025562959029805654, 0.09312984070275832, 0.02624022276042126, 0.017188772351886428, 0.017188772351886428], [57, 57, 3285, 357, 160, 160], [0.0004484729654351869, 0.0004484729654351869, 2.8350027611189747e-05, 7.350202453899513e-05, 0.00010742982719929018, 0.00010742982719929018]], 6, [[(202382, 62.91125), (202439, 62.91), (205724, 62.82), (206081, 62.81), (206241, 62.80375)], [0.026250000000004547, 0.026351466213341723, 0.03383802816901493, 0.020000000000003126, 0.013750000000001705], [90, 2353, 1065, 328, 240], [0.0002916666666667172, 1.119909316334115e-05, 3.1772796402830924e-05, 6.0975609756107095e-05, 5.7291666666673774e-05]], 5]]","[1, 1]"
1,"[[198609, 209367, 16.545146904259486, array([-2.14849777e-05,  6.72828245e+01]), [[198609, 198737, 207927, 208187, 209365], 3250.5, 10756.000002459092, array([1.54295681e-06])], [[(198481, 62.975), (198652, 62.975), (207427, 62.74875), (208026, 62.78375), (209127, 62.75625), (210543, 62.75625)], [0.039790672969260754, 0.039790672969260754, 0.07750999390531632, 0.02964049228032195, 0.033485531864435814, 0.033485531864435814], [128, 128, 9190, 260, 1178, 1178], [0.00031086463257234964, 0.00031086463257234964, 8.43416691026293e-06, 0.00011400189338585365, 2.8425748611575392e-05, 2.8425748611575392e-05]], 6, [[(198609, 63.015), (198737, 63.01375), (207927, 62.815), (208187, 62.81), (209365, 62.785)], [0.03999999999999915, 0.040941595441594814, 0.03703464106845189, 0.030271344232517094, 0.02874999999999517], [171, 8775, 599, 1101, 1416], [0.00023391812865496578, 4.665708882233027e-06, 6.182744752663087e-05, 2.749440893053324e-05, 2.030367231638077e-05]], 5]]","[3, 2, 62756, 62811, 62756, 62811, 62750, 62811]"
1,"[[275646, 278591, 14.839278961409315, array([-3.96889728e-06,  6.31817138e+01]), [[275646, 275699, 275751, 278470, 278589], 991.625, 2943.0000000215023, array([1.98629172e-07])], [[(275593, 62.0725), (275667, 62.0725), (275705, 62.07375), (277066, 61.94375), (278529, 62.065), (278708, 62.0575)], [0.015119796438504807, 0.015119796438504807, 0.013718978341714205, 0.1383173091382517, 0.011260812411826748, 0.011260812411826748], [53, 53, 52, 2719, 119, 119], [0.00028527917808499634, 0.00028527917808499634, 0.00026382650657142705, 5.0870654335509996e-05, 9.462867572963654e-05, 9.462867572963654e-05]], 6, [[(275646, 62.0875), (275699, 62.0875), (275751, 62.0875), (278470, 62.07625), (278589, 62.07625)], [0.015000000000000568, 0.01394736842105715, 0.018143828067593404, 0.016139781271363063, 0.01376396648045386], [74, 38, 1361, 1463, 179], [0.0002027027027027104, 0.0003670360110804513, 1.3331247661714477e-05, 1.1031976262039003e-05, 7.689366748856905e-05]], 5]]","[1, 1]"
1,"[[273413, 294030, 13.948610386013579, array([-2.15071002e-05,  6.81377823e+01]), [[273413, 293346, 293903, 293967, 294028], 7389.625, 20615.00000474912, array([3.09420013e-06])], [[(253480, 61.6375), (291080, 61.6375), (293754, 61.7725), (293930, 61.795), (293997, 61.80625), (294089, 61.7975)], [0.23999552464674423, 0.23999552464674423, 0.047485538665199556, 0.021200289026921837, 0.008509313312352162, 0.008509313312352162], [19933, 19933, 557, 64, 61, 61], [1.2040110602856782e-05, 1.2040110602856782e-05, 8.525231358204589e-05, 0.0003312545160456537, 0.00013949693954675677, 0.00013949693954675677]], 6, [[(273413, 62.2575), (293346, 61.8275), (293903, 61.8175), (293967, 61.815), (294028, 61.815)], [0.6199999999999974, 0.07559835452505581, 0.02595170454545581, 0.013787313432835901, 0.011698369565209532], [37600, 2674, 176, 67, 92], [1.648936170212759e-05, 2.8271635948038822e-05, 0.00014745286673554438, 0.00020578079750501344, 0.00012715619092619056]], 5]]","[2, 2]"
1,"[[304368, 318541, 13.71533659406812, array([-1.74511376e-05,  6.77265616e+01]), [[304368, 318242, 318388, 318459, 318538], 5165.75, 14170.000002161478, array([1.12312151e-06])], [[(290494, 62.045), (314850, 62.045), (318346, 62.1375), (318417, 62.15125), (318498, 62.155), (318617, 62.14625)], [0.187070902082084, 0.187070902082084, 0.0335617249407818, 0.01857269416932894, 0.01340915202159465, 0.01340915202159465], [13874, 13874, 146, 71, 79, 79], [1.3483559325506991e-05, 1.3483559325506991e-05, 0.0002298748283615192, 0.0002615872418215344, 0.0001697361015391728, 0.0001697361015391728]], 6, [[(304368, 62.415), (318242, 62.1725), (318388, 62.17), (318459, 62.17), (318538, 62.1675)], [0.36999999999999744, 0.03775171624713636, 0.024366197183098848, 0.016805555555563956, 0.015441176470588402], [24356, 3496, 71, 81, 119], [1.5191328625389942e-05, 1.0798545837281567e-05, 0.0003431858758182936, 0.00020747599451313524, 0.00012975778546712942]], 5]]","[9, 3]"
