2,"[[20543, 45178, 20.029269745867616, array([  1.62079005e-04,   2.17615543e+02]), [[20543, 31307, 45160, 45173, 45178], 6149.75, 24635.000323929875, array([ 0.00039565])], [[(9779, 223.815), (29347, 223.815), (42950, 225.96000000000001), (45166, 224.98), (45175, 224.985), (45183, 224.985)], [1.4429243343718099, 1.4429243343718099, 1.3831636244249523, 0.043996548541514358, 0.047537837493280222, 0.047537837493280222], [10764, 10764, 13853, 13, 5, 5], [0.00013405094150611388, 0.00013405094150611388, 9.9845782460474428e-05, 0.0033843498878087966, 0.009507567498656045, 0.009507567498656045]], 6, [[(20543, 220.945), (31307, 222.69), (45160, 224.92), (45173, 224.95), (45178, 224.94)], [2.8700000000000045, 1.4340641770197919, 0.062653429602903543, 0.033888888888924384, 0.045000000000015916], [19568, 13603, 2216, 9, 8], [0.00014666802943581381, 0.000105422640374902, 2.827320830455936e-05, 0.003765432098769376, 0.0056250000000019895]], 5]]"
2,"[[73857, 80242, 30.957578628888594, array([  4.31129829e-04,   1.93271697e+02]), [[73857, 76911, 78036, 80237, 80242], 1031.25, 6385.000592208273, array([ 0.0002214])], [[(70803, 226.84), (76543, 226.84), (77710, 227.38999999999999), (80044, 228.25), (80239, 227.895), (80247, 227.895)], [0.56833214305149227, 0.56833214305149227, 0.61520363289520219, 0.46894661258264136, 0.029876295975554967, 0.029876295975554967], [3054, 3054, 1125, 2201, 5, 5], [0.0001860943493947257, 0.0001860943493947257, 0.00054684767368462419, 0.00021306070539874665, 0.0059752591951109935, 0.0059752591951109935]], 6, [[(73857, 225.12), (76911, 226.425), (78036, 226.905), (80237, 227.87), (80242, 227.87)], [1.7199999999999989, 0.58843616109680852, 0.60511996572407156, 0.0286410256410079, 0.025000000000005684], [5740, 1167, 2334, 195, 8], [0.00029965156794425066, 0.00050422978671534578, 0.00025926305300945655, 0.00014687705456927129, 0.0031250000000007105]], 5]]"
2,"[[74705, 80517, 47.435681910979689, array([  3.96431758e-04,   1.95951686e+02]), [[74705, 76911, 78036, 80184, 80502, 80509, 80517], 857.66666666666686, 5812.000455092893, array([ 0.00062049])], [[(72499, 226.84), (76543, 226.84), (77710, 227.38999999999999), (80044, 228.25), (80375, 228.11500000000001), (80505, 227.885), (80513, 227.885), (80525, 227.885)], [0.54423820657851252, 0.54423820657851252, 0.63160234527018133, 0.56633062265359513, 0.30011171083435784, 0.018575582325269124, 0.015404128263185157, 0.015404128263185157], [2206, 2206, 1125, 2148, 318, 7, 8, 8], [0.00024670816254692318, 0.00024670816254692318, 0.0005614243069068279, 0.00026365485225958804, 0.00094374751834703726, 0.0026536546178955894, 0.0019255160328981447, 0.0019255160328981447]], 8, [[(74705, 225.57), (76911, 226.425), (78036, 226.905), (80184, 227.74), (80502, 227.86), (80509, 227.87), (80517, 227.87)], [1.2700000000000102, 0.58843616109680852, 0.60511996572407156, 0.4529003021148128, 0.030307692307701473, 0.014999999999986358, 0.014999999999986358], [4044, 1167, 2334, 331, 130, 8, 12], [0.0003140454995054427, 0.00050422978671534578, 0.00025926305300945655, 0.0013682788583529088, 0.00023313609467462673, 0.0018749999999982947, 0.0012499999999988631]], 7]]"
2,"[[74705, 80529, 20.696518964313295, array([  3.86170201e-04,   1.96722222e+02]), [[74705, 76911, 80431, 80525, 80529], 1407.0, 5824.0004365577615, array([ 0.00022109])], [[(72499, 226.84), (76543, 226.84), (80044, 228.25), (80478, 227.91), (80527, 227.835), (80533, 227.835)], [0.55915274091404399, 0.55915274091404399, 0.61717086822972078, 0.10957300112173129, 0.015650661286969125, 0.015650661286969125], [2206, 2206, 3520, 94, 4, 4], [0.00025346905753129828, 0.00025346905753129828, 0.00017533263301980703, 0.0011656702246992691, 0.0039126653217422813, 0.0039126653217422813]], 6, [[(74705, 225.57), (76911, 226.425), (80431, 227.77), (80525, 227.825), (80529, 227.825)], [1.2700000000000102, 0.56320908311911921, 0.17682027649766496, 0.013061224489774759, 0.010000000000019327], [4044, 3501, 434, 49, 6], [0.0003140454995054427, 0.00016087091777181354, 0.0004074199919301036, 0.0002665556018321379, 0.0016666666666698877]], 5]]"
2,"[[74705, 80566, 32.627288830459392, array([  3.87764205e-04,   1.96601676e+02]), [[74705, 76911, 80431, 80529, 80537, 80558, 80566], 1257.4444444444441, 5861.000439592203, array([ 0.00072339])], [[(72499, 226.84), (76543, 226.84), (80044, 228.25), (80480, 227.905), (80533, 227.855), (80547, 227.89), (80562, 227.865), (80574, 227.865)], [0.55768869633592999, 0.55768869633592999, 0.61012621634554876, 0.096061023179089489, 0.025509520340051495, 0.055080821476906294, 0.024264358409254783, 0.024264358409254783], [2206, 2206, 3520, 98, 8, 21, 8, 8], [0.00025280539271800996, 0.00025280539271800996, 0.00017333131146180363, 0.00098021452223560706, 0.0031886900425064368, 0.0026228962608050616, 0.0030330448011568478, 0.0030330448011568478]], 8, [[(74705, 225.57), (76911, 226.425), (80431, 227.77), (80529, 227.825), (80537, 227.845), (80558, 227.85), (80566, 227.84)], [1.2700000000000102, 0.56320908311911921, 0.173772935779823, 0.03377358490564575, 0.01999999999998181, 0.021666666666675383, 0.025000000000005684], [4044, 3501, 436, 53, 14, 15, 12], [0.0003140454995054427, 0.00016087091777181354, 0.00039856177931152066, 0.0006372374510499198, 0.0014285714285701293, 0.0014444444444450255, 0.002083333333333807]], 7]]"
2,"[[69797, 84278, 23.049619742257594, array([  2.44989160e-04,   2.06474776e+02]), [[69797, 69946, 82266, 84244, 84271, 84278], 3769.5200000000004, 14481.000435139142, array([ 0.0002105])], [[(69648, 223.88999999999999), (69835, 223.88999999999999), (80044, 228.25), (83577, 227.94999999999999), (84257, 227.175), (84274, 227.15), (84285, 227.15)], [0.30640587329244795, 0.30640587329244795, 2.1653115342716092, 0.99976483040629205, 0.058172201301204041, 0.029007385573578404, 0.029007385573578404], [149, 149, 12320, 1978, 27, 7, 7], [0.0020564152569962951, 0.0020564152569962951, 0.00017575580635321503, 0.0005054422802862953, 0.0021545259741186681, 0.0041439122247969151, 0.0041439122247969151]], 7, [[(69797, 223.57), (69946, 223.615), (82266, 226.63), (84244, 227.105), (84271, 227.13), (84278, 227.12)], [0.31999999999999318, 0.32240523067881099, 1.4313218228134872, 0.08481617647058215, 0.024411764705888572, 0.030000000000001137], [187, 10209, 3533, 680, 17, 11], [0.0017112299465240277, 3.1580490809953083e-05, 0.00040512930167378638, 0.00012472967128026785, 0.001435986159169916, 0.0027272727272728307]], 6]]"
2,"[[86816, 92899, 22.318841073822757, array([  2.12106730e-04,   2.08099474e+02]), [[86816, 89471, 92583, 92873, 92899], 1362.75, 6083.000134670392, array([ 0.00026327])], [[(84161, 227.75999999999999), (88136, 227.75999999999999), (91369, 228.44999999999999), (92732, 227.98500000000001), (92886, 227.86), (92925, 227.86)], [0.96628683414519401, 0.96628683414519401, 0.97054577455784852, 0.21644430093658684, 0.05877986444525618, 0.05877986444525618], [2655, 2655, 3112, 290, 26, 26], [0.00036394984336918793, 0.00036394984336918793, 0.00031187203552630096, 0.00074635965840202359, 0.0022607640171252376, 0.0022607640171252376]], 6, [[(86816, 226.52), (89471, 227.065), (92583, 227.745), (92873, 227.8), (92899, 227.8)], [1.2399999999999807, 0.97992112588926261, 0.29083272193690846, 0.07055194805195697, 0.060000000000002274], [3975, 3233, 1363, 154, 39], [0.00031194968553458635, 0.00030309963683552819, 0.00021337690530954398, 0.00045812953280491541, 0.0015384615384615968]], 5]]"
2,"[[75428, 96815, 16.499450333296025, array([  2.70058581e-05,   2.24151840e+02]), [[75428, 75465, 76035, 94344, 96815], 6481.125, 21387.000008276642, array([ 0.0006405])], [[(75391, 226.29499999999999), (75451, 226.29499999999999), (75796, 226.70500000000001), (91369, 228.44999999999999), (95908, 227.44), (99286, 227.44)], [0.10554063979904527, 0.10554063979904527, 0.50622361874565058, 1.8306613901515334, 0.69808180011824561, 0.69808180011824561], [37, 37, 570, 18309, 2471, 2471], [0.0028524497242985209, 0.0028524497242985209, 0.00088811161183447471, 9.9986967619833598e-05, 0.00028250983412312649, 0.00028250983412312649]], 6, [[(75428, 226.175), (75465, 226.185), (76035, 226.225), (94344, 226.695), (96815, 226.77)], [0.11999999999997613, 0.12663768115939433, 0.50678064598986339, 1.0930149812734271, 0.66999999999998749], [60, 345, 15573, 4539, 3378], [0.0019999999999996019, 0.00036706574249099807, 3.2542261991258164e-05, 0.00024080523931998836, 0.00019834221432800105]], 5]]"
1,"[[92732, 99996, 20.819719423021635, array([ -1.71051375e-04,   2.43840671e+02]), [[92732, 92790, 95908, 99911, 99996], 1744.5, 7264.000106692249, array([], dtype=float64)], [[(92674, 227.83000000000001), (92757, 227.83000000000001), (93064, 227.34999999999999), (96144, 227.08000000000001), (99953, 226.61), (100081, 226.61)], [0.14445874567545047, 0.14445874567545047, 0.57194597364880906, 0.3151077396354367, 0.13357305348063164, 0.13357305348063164], [58, 58, 3118, 4003, 85, 85], [0.0024906680288870773, 0.0024906680288870773, 0.00018343360283797595, 7.8717896486494305e-05, 0.0015714476880074311, 0.0015714476880074311]], 6, [[(92732, 227.985), (92790, 227.96), (95908, 227.44), (99911, 226.745), (99996, 226.74)], [0.15500000000000114, 0.18159609120522191, 0.33931168831168179, 0.12981753741138391, 0.12999999999999545], [83, 307, 3080, 3809, 128], [0.001867469879518086, 0.00059151821239485959, 0.00011016613256872785, 3.4081789816588055e-05, 0.0010156249999999645]], 5]]"
1,"[[92732, 100032, 41.771524289331509, array([ -1.71809086e-04,   2.43911384e+02]), [[92732, 92790, 95908, 99769, 99911, 99996, 100026, 100032], 1398.0816326530614, 7300.000109604452, array([], dtype=float64)], [[(92674, 227.83000000000001), (92757, 227.83000000000001), (93064, 227.34999999999999), (96144, 227.08000000000001), (99850, 226.55500000000001), (99953, 226.61), (100011, 226.76), (100029, 226.72), (100038, 226.72)], [0.14488871929660263, 0.14488871929660263, 0.57214332974479021, 0.31297134336173826, 0.20124686883721665, 0.12855053292895491, -0.03141439408733504, 0.0054930423558801067, 0.0054930423558801067], [58, 58, 3118, 3861, 142, 85, 30, 6, 6], [0.0024980813671828038, 0.0024980813671828038, 0.00018349689857113219, 8.1059658990349198e-05, 0.0014172314706846242, 0.0015123592109288814, -0.0010471464695778346, 0.00091550705931335108, 0.00091550705931335108]], 9, [[(92732, 227.985), (92790, 227.96), (95908, 227.44), (99769, 226.76), (99911, 226.745), (99996, 226.74), (100026, 226.73), (100032, 226.72)], [0.15500000000000114, 0.18159609120522191, 0.33931168831168179, 0.19352536427413725, 0.15742718446600179, 0.01879310344827445, 0.0033333333333303017, 0.0], [83, 307, 3080, 3706, 103, 58, 18, 9], [0.001867469879518086, 0.00059151821239485959, 0.00011016613256872785, 5.2219472281202708e-05, 0.0015284192666602115, 0.00032401902497024916, 0.00018518518518501677, 0.0]], 8]]"
