,HW_ratio,ID,absolute_trend_lenght,b,coordinates_X,coordinates_Y,dispersion,extremum_type,height,importance,k,peaks_count,r_squared_of_trend,tops_count,trend_class,trend_end,trend_start,width
0,0.0011037722961123938,100000,5585.000084234556,220.482719,4720,221.735,1561.6,1,0.36314108542097756,21.458760569548758,0.000171021251,6,0.00060735,7,bad_trends1,10634,5049,329
1,0.0011037722961123938,100000,5585.000084234556,220.482719,5199,221.735,1561.6,1,0.36314108542097756,21.458760569548758,0.000171021251,6,0.00060735,7,bad_trends1,10634,5049,329
2,0.0021773302026333393,100000,5585.000084234556,220.482719,5440,221.67,1561.6,1,0.25692496391073405,21.458760569548758,0.000171021251,6,0.00060735,7,bad_trends1,10634,5049,118
3,0.001993964564836708,100000,5585.000084234556,220.482719,5578,221.66,1561.6,1,0.2233240312617113,21.458760569548758,0.000171021251,6,0.00060735,7,bad_trends1,10634,5049,112
4,0.00027873695429451615,100000,5585.000084234556,220.482719,9050,223.43,1561.6,1,1.3995382475127656,21.458760569548758,0.000171021251,6,0.00060735,7,bad_trends1,10634,5049,5021
5,0.005830729911133403,100000,5585.000084234556,220.482719,10631,222.33,1561.6,1,0.029153649555667016,21.458760569548758,0.000171021251,6,0.00060735,7,bad_trends1,10634,5049,5
6,0.005830729911133403,100000,5585.000084234556,220.482719,10639,222.33,1561.6,1,0.029153649555667016,21.458760569548758,0.000171021251,6,0.00060735,7,bad_trends1,10634,5049,5
7,0.0008455114822546997,100000,5585.000084234556,220.482719,5049,221.33,1561.6,0,0.40500000000000114,21.458760569548758,0.000171021251,6,0.00060735,7,bad_trends1,10634,5049,479
8,0.001189717807888912,100000,5585.000084234556,220.482719,5378,221.4,1561.6,0,0.2867219917012278,21.458760569548758,0.000171021251,6,0.00060735,7,bad_trends1,10634,5049,241
9,0.0017459567317787844,100000,5585.000084234556,220.482719,5496,221.425,1561.6,0,0.24094202898547223,21.458760569548758,0.000171021251,6,0.00060735,7,bad_trends1,10634,5049,138
10,6.200857684385096e-05,100000,5585.000084234556,220.482719,5608,221.46,1561.6,0,0.21529377880185052,21.458760569548758,0.000171021251,6,0.00060735,7,bad_trends1,10634,5049,3472
11,1.9855486623450996e-05,100000,5585.000084234556,220.482719,10629,222.3,1561.6,0,0.031391524351676026,21.458760569548758,0.000171021251,6,0.00060735,7,bad_trends1,10634,5049,1581
12,0.003750000000000142,100000,5585.000084234556,220.482719,10634,222.3,1561.6,0,0.030000000000001137,21.458760569548758,0.000171021251,6,0.00060735,7,bad_trends1,10634,5049,8
13,0.0011065515165289298,100001,5612.000088206076,220.454501,4720,221.735,1366.888888888889,1,0.3640554489380179,28.739717570881382,0.000176273071,7,0.00060976,8,bad_trends1,10661,5049,329
14,0.0011065515165289298,100001,5612.000088206076,220.454501,5199,221.735,1366.888888888889,1,0.3640554489380179,28.739717570881382,0.000176273071,7,0.00060976,8,bad_trends1,10661,5049,329
15,0.0021743528721533127,100001,5612.000088206076,220.454501,5440,221.67,1366.888888888889,1,0.2565736389140909,28.739717570881382,0.000176273071,7,0.00060976,8,bad_trends1,10661,5049,118
16,0.0019843567425534203,100001,5612.000088206076,220.454501,5578,221.66,1366.888888888889,1,0.22224795516598306,28.739717570881382,0.000176273071,7,0.00060976,8,bad_trends1,10661,5049,112
17,0.00027407225057761664,100001,5612.000088206076,220.454501,9050,223.43,1366.888888888889,1,1.3802278539088775,28.739717570881382,0.000176273071,7,0.00060976,8,bad_trends1,10661,5049,5036
18,0.0029429358785542092,100001,5612.000088206076,220.454501,10648,222.355,1366.888888888889,1,0.023543487028433674,28.739717570881382,0.000176273071,7,0.00060976,8,bad_trends1,10661,5049,8
19,0.004125922495925731,100001,5612.000088206076,220.454501,10656,222.37,1366.888888888889,1,0.037133302463331574,28.739717570881382,0.000176273071,7,0.00060976,8,bad_trends1,10661,5049,9
20,0.004125922495925731,100001,5612.000088206076,220.454501,10670,222.37,1366.888888888889,1,0.037133302463331574,28.739717570881382,0.000176273071,7,0.00060976,8,bad_trends1,10661,5049,9
21,0.0008455114822546997,100001,5612.000088206076,220.454501,5049,221.33,1366.888888888889,0,0.40500000000000114,28.739717570881382,0.000176273071,7,0.00060976,8,bad_trends1,10661,5049,479
22,0.001189717807888912,100001,5612.000088206076,220.454501,5378,221.4,1366.888888888889,0,0.2867219917012278,28.739717570881382,0.000176273071,7,0.00060976,8,bad_trends1,10661,5049,241
23,0.0017459567317787844,100001,5612.000088206076,220.454501,5496,221.425,1366.888888888889,0,0.24094202898547223,28.739717570881382,0.000176273071,7,0.00060976,8,bad_trends1,10661,5049,138
24,6.200857684385096e-05,100001,5612.000088206076,220.454501,5608,221.46,1366.888888888889,0,0.21529377880185052,28.739717570881382,0.000176273071,7,0.00060976,8,bad_trends1,10661,5049,3472
25,1.4199539161120171e-05,100001,5612.000088206076,220.454501,10644,222.335,1366.888888888889,0,0.022690863579470033,28.739717570881382,0.000176273071,7,0.00060976,8,bad_trends1,10661,5049,1598
26,0.0034375000000004263,100001,5612.000088206076,220.454501,10652,222.335,1366.888888888889,0,0.02750000000000341,28.739717570881382,0.000176273071,7,0.00060976,8,bad_trends1,10661,5049,8
27,0.0032142857142868513,100001,5612.000088206076,220.454501,10661,222.325,1366.888888888889,0,0.045000000000015916,28.739717570881382,0.000176273071,7,0.00060976,8,bad_trends1,10661,5049,14
28,0.001106610010968779,100002,5636.00009049858,220.453981,4720,221.735,1208.8163265306123,1,0.36407469360872824,37.299298275855,0.000176369406,8,0.00061281,9,bad_trends1,10685,5049,329
